Name,Cycle_Number,Total_10Day_Quantity,Max_Stock,Utilization_Rate,GroupName,Stock_Class,Storage Unit,Family,Site,Item Id,Demanded,Delivered,satisfaction_rate (%),Weekend,Month,Date_week,days_since_start,Inventory_Cycle,Cycle_Start_Day,Cycle_End_Day
FROMAGE BUCHE BLANCHE CHEVRE KG,0,0.11,5.0,0.022,Beurre Oeuf Fromage,B,KG (1 KG),SOLIDES,Economat,13550,1,1,40.54054054054054,0,2024-01,lundi,0,1,0,9
FROMAGE CHEDDAR PORTION KG,0,10.1,24.45,0.413,Beurre Oeuf Fromage,B,KG,SOLIDES,Economat,15627,1,1,24.193548387096776,0,2024-01,lundi,0,1,0,9
FROMAGE EDAM MEULE,0,7.2,35.622,0.202,Beurre Oeuf Fromage,B,KG,SOLIDES,Economat,14345,1,1,72.51461988304094,0,2024-01,lundi,0,1,0,9
FROMAGE MEULE GOUDA KG,0,8.3,32.932,0.252,Beurre Oeuf Fromage,A,KG,SOLIDES,Economat,14859,1,1,65.96858638743456,0,2024-01,lundi,0,1,0,9
FROMAGE MOZARELLA CARRE KG,0,30.0,145.0,0.207,Beurre Oeuf Fromage,B,KG,SOLIDES,Economat,15830,1,1,73.0,0,2024-01,lundi,0,1,0,9
FROMAGE PARMIGIANO REGIANO,0,0.75,1.0499999999999998,0.714,Beurre Oeuf Fromage,D,PC (1 PC),SOLIDES,Economat,12744,3,3,23.07692307692308,0,2024-01,lundi,0,1,0,9
GANT EN VINYL MEDUIM,0,300.0,5700.0,0.053,Hygiène,A,SCH (1 PC),CONSO/HYG,Economat,16124,2,2,74.97789566755084,0,2024-01,lundi,0,1,0,9
GANTS LATEX,0,800.0,9100.0,0.088,Hygiène,A,PC (1 PC),CONSO/HYG,Economat,12962,3,3,32.55813953488372,0,2024-01,lundi,0,1,0,9
GARCI GAZ P.E.T 1 L,0,44.0,344.0,0.128,Eaux et Sodas,A,L (1 GR),LIQUIDES,Economat,13138,1,1,84.48471121177803,0,2024-01,lundi,0,1,0,9
GOBLET DB 19 CC,0,50.0,12000.0,0.004,Consommable,A,PC (1 PC),CONSO/HYG,Economat,15418,1,1,90.09433962264151,0,2024-01,lundi,0,1,0,9
HARISSA 5/2,0,11.0,53.0,0.208,Epicerie,A,BOTTE (1 BTE),SOLIDES,Economat,16245,2,2,82.23938223938224,0,2024-01,lundi,0,1,0,9
HUILE VEGETALE 5L,0,12.0,54.0,0.222,Epicerie,A,L (5 PC),SOLIDES,Economat,12673,2,2,57.24137931034483,0,2024-01,lundi,0,1,0,9
INTENSO NSPRS,0,400.0,4050.0,0.099,Cafe,A,PC,LIQUIDES,Economat,16340,3,3,68.36461126005362,0,2024-01,lundi,0,1,0,9
JAMBON DE BOEUF FUME,0,5.95,18.1,0.329,Charcuterie,A,KG,SOLIDES,Economat,12676,1,1,72.4867724867725,0,2024-01,lundi,0,1,0,9
JOUR ET NUIT ROSE 1/2,0,18.0,52.0,0.346,Alcools,B,PC (1 PC),LIQUIDES,Economat,12976,2,2,60.86956521739131,0,2024-01,lundi,0,1,0,9
JUS CITRONADE  CLASSIQUE 250 ml,0,70.0,1403.0,0.05,Jus Fruit Lait,A,PC (1 PC),LIQUIDES,Economat,13786,4,4,86.39281129653402,0,2024-01,lundi,0,1,0,9
JUS FRAISE  MINI CAMAROSA 250 ml,0,69.0,1210.0,0.057,Jus Fruit Lait,A,PC (1 PC),LIQUIDES,Economat,12435,4,4,74.16020671834626,0,2024-01,lundi,0,1,0,9
JUS STILL 20 CL,0,24.0,552.0,0.043,Jus Fruit Lait,A,PC,LIQUIDES,Economat,12440,1,1,93.66197183098592,0,2024-01,lundi,0,1,0,9
KETCHUP,0,1.0,40.0,0.025,Epicerie,C,PC (5000 PC),SOLIDES,Economat,14691,1,1,83.09859154929578,0,2024-01,lundi,0,1,0,9
KINDER T4,0,40.0,180.0,0.222,Epicerie,B,PC (1 PC),SOLIDES,Economat,12993,2,2,67.33333333333333,0,2024-01,lundi,0,1,0,9
KIWI,0,60.0,641.0,0.094,Fruits & Legumes Frais,A,PC (1 PC),SOLIDES,Economat,12067,2,2,80.87818696883853,0,2024-01,lundi,0,1,0,9
LAIT UHT DEMI ECREME,0,117.0,1322.0,0.089,Jus Fruit Lait,A,PQT (1 L),LIQUIDES,Economat,14862,6,6,87.52136752136751,0,2024-01,lundi,0,1,0,9
LAVETTE COTON,0,6.0,149.0,0.04,Hygiène,A,PC (1 PC),CONSO/HYG,Economat,14337,1,1,86.58536585365853,0,2024-01,lundi,0,1,0,9
LIPTON ICE TEA PECHE 33 CL,0,163.0,1485.0,0.11,THE,A,PC (1 PC),LIQUIDES,Economat,14299,2,2,78.68338557993731,0,2024-01,lundi,0,1,0,9
LOT CAFE EN GRAINS ( BARISTA N°3 ),0,10.0,98.0,0.102,Cafe,A,PC (1 KG),LIQUIDES,Economat,12681,2,2,48.63013698630137,0,2024-01,lundi,0,1,0,9
MAY 0.5L,0,1514.0,22614.0,0.067,Eaux et Sodas,A,PC,LIQUIDES,Economat,15027,2,2,87.152133580705,0,2024-01,lundi,0,1,0,9
MAYO 5L DEJ,0,30.0,170.0,0.176,Epicerie,A,KG (5000 GR),SOLIDES,Economat,16250,2,2,81.50537634408602,0,2024-01,lundi,0,1,0,9
