Name,Physical Storage Quantity,Storage Unit,GroupName,Date_week,Month,Stock_Class,Inventory_Cycle,Max_Stock
MENTOS ROLLS FRUIT FLAVOUR,40.0,PC (1 PC),Epicerie,lundi,2024-01,D,1,40.0
MENTOS ROLLS MENTHE,40.0,PC (1 PC),Epicerie,lundi,2024-01,D,1,40.0
MENTOS ROLLS RAINBOW,40.0,PC (1 PC),Epicerie,lundi,2024-01,D,1,40.0
MENTOS ROLLS STRAWBERRY,40.0,PC (1 PC),Epicerie,lundi,2024-01,D,1,40.0
SERPILLERE,5.0,PC (1 PC),Hygiène,lundi,2024-01,A,1,42.0
PAIN CHAWARMA *10,3.0,PQT (10 PC),Boulangerie_R,lundi,2024-01,A,1,30.0
KINDER T4,20.0,PC (1 PC),Epicerie,lundi,2024-01,B,1,60.0
AMANDES GRILEES SALEES 70GR,12.0,PC (1 PC),Fruits Secs,lundi,2024-01,B,1,48.0
HARISSA 5/2,1.0,BOTTE (1 BTE),Epicerie,lundi,2024-01,A,1,24.0
KIWI,20.0,PC (1 PC),Fruits & Legumes Frais,lundi,2024-01,A,1,109.0
ORANGE A JUS,80.0,KG (1 KG),Jus Fruit Lait,lundi,2024-01,A,1,121.0
PAILLE ENVELOPPE 7.5MM NOIR,5.0,SCH (100 PC),Consommable,lundi,2024-01,B,1,10.0
DADDY'S CHIPS SAVORY TRUFFE PARMESAN 70G,15.0,PC (1 PC),Epicerie,lundi,2024-01,B,1,45.0
PAPIER ALUM DE 100,1.0,PC (1 PC),Consommable,lundi,2024-01,B,1,4.0
FOURCHETTE NOIRE EMBALEE EJEM,500.0,PC (1 PC),Consommable,lundi,2024-01,A,1,2000.0
JUS CITRONADE  CLASSIQUE 250 ml,15.0,PC (1 PC),Jus Fruit Lait,lundi,2024-01,A,1,80.0
GANT EN VINYL MEDUIM,100.0,SCH (1 PC),Hygiène,lundi,2024-01,A,1,1000.0
GANTS LATEX,200.0,PC (1 PC),Hygiène,lundi,2024-01,A,1,600.0
FANTA BOITE 24CL,4.0,PC (1 PC),Eaux et Sodas,lundi,2024-01,A,1,120.0
BOGA LIME BOITE 24CL,3.0,BTE (1 PC),Eaux et Sodas,lundi,2024-01,A,1,138.0
ORANGINA BOITE 24 CL,24.0,BTE (1 BTE),Eaux et Sodas,lundi,2024-01,A,1,72.0
FORTE NSPRS,150.0,PC (1 PC),Cafe,lundi,2024-01,A,1,1500.0
MIRA 0,6L,120.0,PC,Eaux et Sodas,lundi,2024-01,A,1,939.0
COCA COLA BOITE 24CL,5.0,PC (1 PC),Eaux et Sodas,lundi,2024-01,A,1,240.0
ORANGE A JUS,100.0,KG (1 KG),Jus Fruit Lait,lundi,2024-01,A,1,121.0
VIPA ORIENTAL MIX 100 GR,8.0,PC (1 PC),Fruits Secs,lundi,2024-01,B,1,24.0
ORANGE A JUS,20.55,KG (1 KG),Jus Fruit Lait,lundi,2024-01,A,1,121.0
PAIN DE MIE NATURE,52.0,PC,Boulangerie_R,lundi,2024-01,B,1,52.0
FROMAGE BUCHE BLANCHE CHEVRE KG,0.11,KG (1 KG),Beurre Oeuf Fromage,lundi,2024-01,B,1,3.0
LAVETTE COTON,6.0,PC (1 PC),Hygiène,lundi,2024-01,A,1,50.0
LAIT UHT DEMI ECREME,18.0,PQT (1 L),Jus Fruit Lait,lundi,2024-01,A,1,82.0
ROULEAU CAISSE 80*80,10.0,PC (1 PC),Fournitures de Bureau,lundi,2024-01,A,1,60.0
PAPRIKA DOUX,1.0,KG (1 KG),Fruits & Legumes Frais,lundi,2024-01,C,1,1.0
SANIT SURF,1.0,PC (1 PC),Hygiène,lundi,2024-01,A,1,5.0
PAIN HAMBURGER AC,30.0,PC (1 PC),Boulangerie_R,lundi,2024-01,A,1,125.0
KIWI,40.0,PC (1 PC),Fruits & Legumes Frais,lundi,2024-01,A,1,109.0
SANIT SURF,1.0,PC (1 PC),Hygiène,lundi,2024-01,A,1,5.0
JUS CITRONADE  CLASSIQUE 250 ml,10.0,PC (1 PC),Jus Fruit Lait,lundi,2024-01,A,1,80.0
JOUR ET NUIT ROSE 1/2,6.0,PC (1 PC),Alcools,lundi,2024-01,B,1,24.0
JUS FRAISE  MINI CAMAROSA 250 ml,10.0,PC (1 PC),Jus Fruit Lait,lundi,2024-01,A,1,60.0
ESSUIT TOUT JUMBO,3.0,PC (1 KG),Hygiène,lundi,2024-01,A,1,13.0
FORTE NSPRS,50.0,PC (1 PC),Cafe,lundi,2024-01,A,1,1500.0
INTENSO NSPRS,50.0,PC,Cafe,lundi,2024-01,A,1,2000.0
SERVIETTE EN PAPIER 30*30,24.0,PC (1 PC),Consommable,lundi,2024-01,A,1,72.0
ORANGE A JUS,20.0,KG (1 KG),Jus Fruit Lait,lundi,2024-01,A,1,121.0
BROCHETTE BAMBOO 20,2.0,PC (1 PC),Consommable,lundi,2024-01,C,1,10.0
FROMAGE PARMIGIANO REGIANO,0.15,PC (1 PC),Beurre Oeuf Fromage,lundi,2024-01,D,1,0.6
SEL FIN DE TABLE,1.0,PC (1 KG),Epicerie,lundi,2024-01,B,1,12.0
RISTRETTO NSPRS,50.0,PC (1 PC),Cafe,lundi,2024-01,A,1,1500.0
PAIN HAMBURGER AC,30.0,PC (1 PC),Boulangerie_R,lundi,2024-01,A,1,125.0
COOKIES,40.0,PC,Viennoiserie,lundi,2024-01,C,1,80.0
SERVIETTE EN PAPIER 30*30,24.0,PC (1 PC),Consommable,lundi,2024-01,A,1,72.0
LAIT UHT DEMI ECREME,24.0,PQT (1 L),Jus Fruit Lait,lundi,2024-01,A,1,82.0
JUS FRAISE  MINI CAMAROSA 250 ml,20.0,PC,Jus Fruit Lait,lundi,2024-01,A,1,60.0
VIANDE SECHE FUME (BRESAOLA) TRANCHES 300GR,0.6,KG (1000 GR),Viandes Fraiches,lundi,2024-01,A,1,5.0
CAROTTE CAKE PBC,55.0,PC (1 PC),Viennoiserie,lundi,2024-01,B,1,220.0
CAKE MARBRE PBC,55.0,PC (1 PC),Viennoiserie,lundi,2024-01,A,1,220.0
PAIN DE MIE CEREALE,26.0,PC (1 PC),Boulangerie_R,lundi,2024-01,B,1,54.0
LAIT UHT DEMI ECREME,24.0,PQT (1 L),Jus Fruit Lait,lundi,2024-01,A,1,82.0
MENTOS ROLLS TUTTI FRUTTI,40.0,PC (1 PC),Epicerie,lundi,2024-01,D,1,40.0
AJAX VITRE,1.0,PC (1 PC),Hygiène,lundi,2024-01,A,1,10.0
FROMAGE PARMIGIANO REGIANO,0.45,PC,Beurre Oeuf Fromage,lundi,2024-01,D,1,0.6
"THON EN BOITES,30.0,""BTE (2,05 KG)"",Conserve de Poisson,lundi,2024-01,A,1,40.0"
PATE SPAGHETTI,12.0,PC,Epicerie,lundi,2024-01,B,1,24.0
CHAMPIGNON FRAIS BARQUETTE,2.0,KG,Legumes Frais,lundi,2024-01,A,1,10.0
HUILE VEGETALE 5L,6.0,L (5 PC),Epicerie,lundi,2024-01,A,1,30.0
PAPRIKA FORT,1.0,KG,Epicerie,lundi,2024-01,C,1,2.0
PAPRIKA DOUX,1.0,KG,Fruits & Legumes Frais,lundi,2024-01,C,1,1.0
ESSUIT TOUT JUMBO,6.0,PC (1 KG),Hygiène,lundi,2024-01,A,1,13.0
AUBERGINE LEGUME,2.1,KG,Legumes Frais,lundi,2024-01,A,1,8.0
CAROTTE,7.0,KG,Legumes Frais,lundi,2024-01,A,1,20.0
CITRON SALLE,7.0,KG,Legumes Frais,lundi,2024-01,B,1,14.2
CONCOMBRE,16.5,KG,Legumes Frais,lundi,2024-01,A,1,34.4
BACON DE DINDE TRANCHES (1 - 1.5 KG),10.0,KG,Charcuterie,lundi,2024-01,B,1,21.5
CORNICHON FRAIS,6.0,KG,Legumes Frais,lundi,2024-01,B,1,6.0
PIMENT ROUGE SALLE,5.0,KG,Legumes Frais,lundi,2024-01,B,1,14.0
ROQUETTE SALADE KG,1.0,KG,Legumes Frais,lundi,2024-01,C,1,1.2
SALADE LAITUE TUN,20.9,KG,Legumes Frais,lundi,2024-01,A,1,77.0
VIANDE HACHEE SPECIAL RESTO,4.7,PC (1 KG),Viandes Fraiches,lundi,2024-01,A,1,162.87
EMINCE DE BOEUF PORT. SURGELE,5.395,KG (1000 GR),Viandes Surgelées,lundi,2024-01,A,1,59.39
ESCALOPE POULET PANE CONGELE,9.39,KG,Volaille Surgelée,lundi,2024-01,A,1,40.06
FOURCHETTE NOIRE EMBALEE EJEM,500.0,PC (1 PC),Consommable,lundi,2024-01,A,1,2000.0
GANTS LATEX,400.0,PC (1 PC),Hygiène,lundi,2024-01,A,1,600.0
FROMAGE PARMIGIANO REGIANO,0.15,PC,Beurre Oeuf Fromage,lundi,2024-01,D,1,0.6
SAC A POUBELLE GEANT BLANC,25.0,PC (1 PC),Hygiène,lundi,2024-01,A,1,400.0
SUCRE EN SACHET DAILY BREAK,10.0,PC (1 KG),Cafe,lundi,2024-01,A,1,50.0
JAMBON DE BOEUF FUME,5.95,KG,Charcuterie,lundi,2024-01,A,1,8.1
HARISSA 5/2,10.0,BOTTE (1 BTE),Epicerie,lundi,2024-01,A,1,24.0
COCA COLA BOITE 24CL,18.0,PC (1 PC),Eaux et Sodas,lundi,2024-01,A,1,240.0
GOBLET DB 19 CC,50.0,PC (1 PC),Consommable,lundi,2024-01,A,1,3000.0
PIMENT FORT,4.7,KG,Legumes Frais,lundi,2024-01,A,1,20.25
LAIT UHT DEMI ECREME,3.0,PQT (1 L),Jus Fruit Lait,lundi,2024-01,A,1,82.0
COCA BOITE ZERO,12.0,PC (1 PC),Eaux et Sodas,lundi,2024-01,A,1,166.0
OEUFS,4.0,PC (30 PC),Beurre Oeuf Fromage,lundi,2024-01,A,1,10.0
MAYO 5L DEJ,20.0,KG (5000 GR),Epicerie,lundi,2024-01,A,1,25.0
TOMATE CONCENTRE 4/4,12.0,PC,Epicerie,lundi,2024-01,D,1,12.0
COURGETTE,2.0,KG,Legumes Frais,lundi,2024-01,A,1,7.95
TOMATE FRAICHE,34.3,KG,Legumes Frais,lundi,2024-01,A,1,83.0
FROMAGE CHEDDAR PORTION KG,10.1,KG,Beurre Oeuf Fromage,lundi,2024-01,B,1,10.1
FROMAGE MEULE GOUDA KG,8.3,KG,Beurre Oeuf Fromage,lundi,2024-01,A,1,14.945
FROMAGE MOZARELLA CARRE KG,30.0,KG,Beurre Oeuf Fromage,lundi,2024-01,B,1,32.0
FROMAGE EDAM MEULE,7.2,KG,Beurre Oeuf Fromage,lundi,2024-01,B,1,21.65
JUS STILL 20 CL,24.0,PC,Jus Fruit Lait,lundi,2024-01,A,1,192.0
LAIT UHT DEMI ECREME,24.0,PQT (1 L),Jus Fruit Lait,lundi,2024-01,A,1,82.0
JUS FRAISE  MINI CAMAROSA 250 ml,14.0,PC (1 PC),Jus Fruit Lait,lundi,2024-01,A,1,60.0
JUS CITRONADE  CLASSIQUE 250 ml,20.0,PC (1 PC),Jus Fruit Lait,lundi,2024-01,A,1,80.0
FANTA BOITE 24CL,7.0,PC (1 PC),Eaux et Sodas,lundi,2024-01,A,1,120.0
PAPIER CUISSON 40*60,1.0,PC (500 PC),Consommable,lundi,2024-01,C,1,2.0
PAIN SANDWICH CI GUSTA,145.0,PC (1 PC),Boulangerie_R,lundi,2024-01,A,1,201.0
MIRA 0,6L,24.0,PC (1 PC),Eaux et Sodas,lundi,2024-01,A,1,939.0
ORANGE A JUS,60.0,KG (1 KG),Jus Fruit Lait,lundi,2024-01,A,1,121.0
LOT CAFE EN GRAINS ( BARISTA N°3 ),1.0,PC (1 KG),Cafe,lundi,2024-01,A,1,9.0
PATE PIZZA PANCROCCHINO 12/40,99.0,PC (1 PC),Boulangerie_R,lundi,2024-01,A,1,112.0
FORTE NSPRS,50.0,PC (1 PC),Cafe,mardi,2024-01,A,1,1500.0
RISTRETTO NSPRS,50.0,PC (1 PC),Cafe,mardi,2024-01,A,1,1500.0
MAY 0.5L,247.0,PC (1 PC),Eaux et Sodas,mardi,2024-01,A,1,1680.0
GARCI GAZ P.E.T 1 L,11.0,L (1 GR),Eaux et Sodas,mardi,2024-01,A,1,103.0
BOGA LIME BOITE 24CL,2.0,BTE (1 PC),Eaux et Sodas,mardi,2024-01,A,1,138.0
INTENSO NSPRS,50.0,PC (1 PC),Cafe,mardi,2024-01,A,1,2000.0
LAIT UHT DEMI ECREME,6.0,PQT (1 L),Jus Fruit Lait,mardi,2024-01,A,1,82.0
EPINARD,2.4,KG (1 KG),Legumes Frais,mardi,2024-01,B,1,7.2
PERSIL,2.2,KG (1 KG),Legumes Frais,mardi,2024-01,A,1,4.0
VARIANTES,3.0,KG (1 KG),Legumes Frais,mardi,2024-01,D,1,10.0
GATEAU CHOCOLAT PBC,40.0,PC (1 PC),Viennoiserie,mardi,2024-01,B,1,60.0
RED BULL,22.0,PC (1 PC),Eaux et Sodas,mardi,2024-01,A,1,96.0
COCA COLA BOITE 24CL,17.0,PC (1 PC),Eaux et Sodas,mardi,2024-01,A,1,240.0
BOGA LIME BOITE 24CL,50.0,BTE (1 PC),Eaux et Sodas,mardi,2024-01,A,1,138.0
