Name,Physical Storage Quantity,Storage Unit,GroupName,Date_week,Month,Stock_Class,Inventory_Cycle,Max_Stock
POULET PANE AMANDE PB,40.0,PC (40 PC),Volaille Surgelée,samedi,2024-06,A,16,80.0
AJAX VITRE,5.0,PC (1 PC),Hygiène,samedi,2024-06,A,16,10.0
SERVIETTE EN PAPIER 30*30,36.0,PC (1 PC),Consommable,samedi,2024-06,A,16,72.0
DOSETTE KETCHUP PB,1000.0,PC (1000 PC),Epicerie,samedi,2024-06,C,16,1000.0
POUDRE TENDERS PB,10.0,KG (1 KG),Volaille Surgelée,samedi,2024-06,B,16,20.0
DOSETTE MAYO PB,1000.0,PC (1 PC),Epicerie,samedi,2024-06,C,16,1000.0
NUGGETS PANE PB,25.0,PC (1 PC),Volaille Surgelée,samedi,2024-06,A,16,50.0
ORANGE A JUS,60.0,KG (1 KG),Jus Fruit Lait,samedi,2024-06,A,16,121.0
ORANGE A JUS,20.0,KG (1 KG),Jus Fruit Lait,samedi,2024-06,A,16,121.0
JUS CITRONADE  CLASSIQUE 250 ml,60.0,PC (1 PC),Jus Fruit Lait,samedi,2024-06,A,16,80.0
ORANGE A JUS,60.0,KG (1 KG),Jus Fruit Lait,samedi,2024-06,A,16,121.0
LOT CAFE GRAIN ESPRESSO ELITE 3,2.0,PC (1 KG),Cafe,samedi,2024-06,A,16,12.0
SANEX,5.0,PC (1 PC),Hygiène,samedi,2024-06,A,16,48.0
SERPILLERE,3.0,PC (1 PC),Hygiène,samedi,2024-06,A,16,42.0
JEX CARRE,5.0,PC (1 PC),Hygiène,samedi,2024-06,A,16,35.0
JUS FRAISE  MINI CAMAROSA 250 ml,60.0,PC (1 PC),Jus Fruit Lait,samedi,2024-06,A,16,60.0
SAC A POUBELLE GEANT BLANC,50.0,PC (1 PC),Hygiène,samedi,2024-06,A,16,400.0
AJAX VITRE,1.0,PC (1 PC),Hygiène,samedi,2024-06,A,16,10.0
SANIT SURF,2.0,PC (1 PC),Hygiène,samedi,2024-06,A,16,5.0
THE NOIR MENTHE S SUCRE,180.0,PC (1 PC),THE,samedi,2024-06,C,16,180.0
LOT CAFE GRAIN ESPRESSO ELITE 3,2.0,PC (1 KG),Cafe,samedi,2024-06,A,16,12.0
GOBLET PET 350 CC,300.0,PC (1 PC),Consommable,samedi,2024-06,A,16,1300.0
BIOSPOT,600.0,PC (1 PC),Hygiène,samedi,2024-06,D,16,1800.0
JUS CITRONADE  CLASSIQUE 250 ml,40.0,PC (1 PC),Jus Fruit Lait,samedi,2024-06,A,16,80.0
LOT CAFE GRAIN ESPRESSO ELITE 3,1.0,PC (1 KG),Cafe,samedi,2024-06,A,16,12.0
KINDER T4,20.0,PC (1 PC),Epicerie,samedi,2024-06,B,16,60.0
BOITE PIZZA PM CIG,100.0,PC (1 PC),Consommable,samedi,2024-06,B,16,300.0
LAIT UHT DEMI ECREME,24.0,PQT (1 L),Jus Fruit Lait,samedi,2024-06,A,16,82.0
DADDY'S CHIPS SPICY PAPRIKA 70G,30.0,PC (1 PC),Epicerie,samedi,2024-06,A,16,60.0
"CHOCOLAT EN POUDRE,5.0,""PC (0,2 KG)"",Cafe,samedi,2024-06,A,16,12.0"
LOT CAFE GRAIN ESPRESSO ELITE 3,5.0,PC (1 KG),Cafe,samedi,2024-06,A,16,12.0
PAILLE NOIR,3.0,PQT (1000 PC),Consommable,samedi,2024-06,A,16,14.0
EAU MINERALE 1,5L,6.0,PC,Eaux et Sodas,samedi,2024-06,A,16,3970.0
JUS FRAISE  MINI CAMAROSA 250 ml,40.0,PC (1 PC),Jus Fruit Lait,samedi,2024-06,A,16,60.0
SANIT SURF,2.0,PC (1 PC),Hygiène,samedi,2024-06,A,16,5.0
FOURCHETTE NOIRE EMBALEE EJEM,500.0,PC,Consommable,samedi,2024-06,A,16,2000.0
FARINE EN PAQUET,20.0,PC (1 KG),Epicerie,samedi,2024-06,A,16,50.0
GANT EN VINYL MEDUIM,200.0,SCH (1 PC),Hygiène,samedi,2024-06,A,16,1000.0
GOBLET 6.5 0Z MF,150.0,PC (1 PC),Consommable,samedi,2024-06,B,16,1000.0
SACHET BRETELLES 38X60 MF,50.0,PC (1 PC),Consommable,samedi,2024-06,B,16,225.0
FILM ETIRABLE 725GR,1.0,PC (1 GR),Consommable,samedi,2024-06,A,16,6.0
GANT EN VINYL  XL,100.0,SCH (1 PC),Hygiène,samedi,2024-06,A,16,1000.0
OLIVE VIOLETTE,5.0,KG (1 KG),Legumes Frais,samedi,2024-06,C,16,10.0
"CHOCOLAT EN POUDRE,1.0,""PC (0,2 KG)"",Cafe,samedi,2024-06,A,16,12.0"
AJAX VITRE,1.0,PC (1 PC),Hygiène,samedi,2024-06,A,16,10.0
FARINE EN PAQUET,4.0,PC (1 KG),Epicerie,samedi,2024-06,A,16,50.0
ORANGE A JUS,1.5,KG (1 KG),Jus Fruit Lait,samedi,2024-06,A,16,121.0
SUCRE GLACE,2.0,PC,Pâtisseries,samedi,2024-06,D,16,10.0
BAGUETTE CONG.,130.0,PC (1 PC),Boulangerie_R,samedi,2024-06,B,16,350.0
FROMAGE LAND OR,1.8,PC (1 KG),Beurre Oeuf Fromage,samedi,2024-06,A,16,10.8
JUS FRAISE  MINI CAMAROSA 250 ml,25.0,PC (1 PC),Jus Fruit Lait,samedi,2024-06,A,16,60.0
LAVETTE COTON,12.0,PC (1 PC),Hygiène,samedi,2024-06,A,16,50.0
ESSUIT TOUT JUMBO,1.0,PC (1 KG),Hygiène,samedi,2024-06,A,16,13.0
LEVURE BOULANGERE NORMALE,2.0,PC,Boulangerie_R,samedi,2024-06,B,16,12.0
MAYO 5L DEJ,5.0,KG (5000 GR),Beurre Oeuf Fromage,samedi,2024-06,A,16,25.0
GANT EN VINYL MEDUIM,100.0,SCH (1 PC),Hygiène,samedi,2024-06,A,16,1000.0
"CREME DE CUISSON,2.0,""L (0,95 L)"",Beurre Oeuf Fromage,samedi,2024-06,B,16,10.0"
JUS CITRONADE  CLASSIQUE 250 ml,15.0,PC (1 PC),Jus Fruit Lait,samedi,2024-06,A,16,80.0
FRAISE FRAIS,7.7,KG (1 KG),Fruits & Legumes Frais,samedi,2024-06,A,16,10.35
SANIT SURF,1.0,PC (1 PC),Hygiène,samedi,2024-06,A,16,5.0
SERVIETTE EN PAPIER 30*30,18.0,PC (1 PC),Consommable,samedi,2024-06,A,16,72.0
BOGA LIME BOITE 24CL,24.0,BTE (1 PC),Eaux et Sodas,samedi,2024-06,A,16,138.0
BAGUETTE CONG.,130.0,PC (1 PC),Boulangerie_R,samedi,2024-06,B,16,350.0
JAMBON DE DINDE,3.6,PC (1 KG),Charcuterie,samedi,2024-06,A,16,10.8
FANTA BOITE 24CL,24.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,120.0
MAY 0.5L,46.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,1680.0
LOT CAFE GRAINS  PUR EXPRESS,5.0,KG,Cafe,samedi,2024-06,A,16,10.0
COCA BOITE ZERO,8.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,166.0
LAIT UHT DEMI ECREME,48.0,PQT (1 L),Jus Fruit Lait,samedi,2024-06,A,16,82.0
COCA COLA ZERO 30 CL,12.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,B,16,72.0
JUS STILL 20 CL,96.0,PC (1 PC),Jus Fruit Lait,samedi,2024-06,A,16,192.0
GOBLET DB 19 CC,1000.0,PC (1 PC),Consommable,samedi,2024-06,A,16,3000.0
LAVETTE COTON,2.0,PC (1 PC),Hygiène,samedi,2024-06,A,16,50.0
GOBLET DB 25 CC,1000.0,PC (1 PC),Consommable,samedi,2024-06,A,16,3000.0
MIRA 1L,60.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,480.0
COCA COLA PET 30CL,12.0,PQT (1 PQT),Eaux et Sodas,samedi,2024-06,B,16,144.0
BOGA CIDRE PET 30 CL,12.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,C,16,60.0
INTENSO NSPRS,50.0,PC,Cafe,samedi,2024-06,A,16,2000.0
BEURRE MARGARINE  KG,4.5,PC (1 KG),Beurre Oeuf Fromage,samedi,2024-06,C,16,9.0
FARINE EN PAQUET,4.0,PC (1 KG),Epicerie,samedi,2024-06,A,16,50.0
SUCRE GLACE,2.0,PC (1 PC),Pâtisseries,samedi,2024-06,D,16,10.0
ORANGE A JUS,1.5,KG (1 KG),Jus Fruit Lait,samedi,2024-06,A,16,121.0
OEUFS,2.0,PC (30 PC),Beurre Oeuf Fromage,samedi,2024-06,A,16,10.0
PIMENT ROUGE SALLE,5.0,KG (1 KG),Legumes Frais,samedi,2024-06,B,16,14.0
ESSUIT TOUT JUMBO,2.0,PC (1 KG),Hygiène,samedi,2024-06,A,16,13.0
EMINCE DE BOEUF PORT. SURGELE,3.0,KG (1000 GR),Viandes Surgelées,samedi,2024-06,A,16,59.39
JUS CITRONADE  CLASSIQUE 250 ml,50.0,PC (1 PC),Jus Fruit Lait,samedi,2024-06,A,16,80.0
AUBERGINE LEGUME,2.5,KG (1 KG),Legumes Frais,samedi,2024-06,A,16,8.0
"THON EN BOITES,20.0,""BTE (2,05 KG)"",Conserve de Poisson,samedi,2024-06,A,16,40.0"
HEINEKEN BLLE 30CL,63.0,BTL,Alcools,samedi,2024-06,A,16,555.0
SEL FIN DE TABLE,1.0,PC (1 KG),Epicerie,samedi,2024-06,B,16,12.0
MOUTARDE DIJON 840 GR,2.0,BTE (840 GR),Epicerie,samedi,2024-06,B,16,12.0
PIMENT FORT,14.4,KG (1 KG),Legumes Frais,samedi,2024-06,A,16,20.25
CUILLERE A CAFE PLASTIQUE,500.0,PC (1 PC),Consommable,samedi,2024-06,A,16,5000.0
FRAISE FRAIS,2.0,KG (1 KG),Fruits & Legumes Frais,samedi,2024-06,A,16,10.35
RED BULL,1.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,96.0
SERVIETTE EN PAPIER 30*30,48.0,PC (1 PC),Consommable,samedi,2024-06,A,16,72.0
SAC A POUBELLE GEANT BLANC,200.0,PC (1 PC),Hygiène,samedi,2024-06,A,16,400.0
ESSUIT TOUT JUMBO,6.0,PC (1 KG),Hygiène,samedi,2024-06,A,16,13.0
COCA BOITE ZERO,24.0,PC,Eaux et Sodas,samedi,2024-06,A,16,166.0
BOGA LIME BOITE 24CL,24.0,BTE (1 PC),Eaux et Sodas,samedi,2024-06,A,16,138.0
OIGNONS ROUGE,20.0,KG (1 KG),Legumes Frais,samedi,2024-06,A,16,25.9
AJAX VITRE,2.0,PC (1 PC),Hygiène,samedi,2024-06,A,16,10.0
MAYO 5L DEJ,10.0,KG (5000 GR),Beurre Oeuf Fromage,samedi,2024-06,A,16,25.0
LAIT UHT DEMI ECREME,24.0,PQT (1 L),Jus Fruit Lait,samedi,2024-06,A,16,82.0
ORANGE A JUS,60.0,KG (1 KG),Jus Fruit Lait,samedi,2024-06,A,16,121.0
RISTRETTO NSPRS,100.0,PC (1 PC),Cafe,samedi,2024-06,A,16,1500.0
PAIN CHAWARMA *10,15.0,PQT (10 PC),Boulangerie_R,samedi,2024-06,A,16,30.0
FANTA BOITE 24CL,2.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,120.0
JUS FRAISE  MINI CAMAROSA 250 ml,40.0,PC (1 PC),Jus Fruit Lait,samedi,2024-06,A,16,60.0
FANTA BOITE 24CL,31.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,120.0
LAVETTE COTON,5.0,PC (1 PC),Hygiène,samedi,2024-06,A,16,50.0
CUILLERE A CAFE PLASTIQUE,600.0,PC,Consommable,samedi,2024-06,A,16,5000.0
COCA BOITE ZERO,24.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,166.0
FORTE NSPRS,50.0,PC (1 PC),Cafe,samedi,2024-06,A,16,1500.0
BOGA LIME BOITE 24CL,3.0,BTE (1 PC),Eaux et Sodas,samedi,2024-06,A,16,138.0
GARCI GAZ P.E.T 1 L,4.0,L (1 GR),Eaux et Sodas,samedi,2024-06,A,16,103.0
COCA BOITE ZERO,8.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,166.0
LOT CAFE GRAINS  PUR EXPRESS,2.0,KG,Cafe,samedi,2024-06,A,16,10.0
COCA COLA BOITE 24CL,14.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,240.0
FUT HEINEKEIN,20.0,PC (1 L),Alcools,samedi,2024-06,B,16,120.0
LOT CAFE GRAIN ESPRESSO ELITE 3,2.0,PC (1 KG),Cafe,samedi,2024-06,A,16,12.0
BOGA LIME BOITE 24CL,24.0,BTE (1 PC),Eaux et Sodas,samedi,2024-06,A,16,138.0
MAY 0.5L,59.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,1680.0
CAROTTE,5.1,KG (1 KG),Legumes Frais,samedi,2024-06,A,16,20.0
AMSTEL BEER BLLE 33CL,17.0,BTL (1 BTL),Alcools,samedi,2024-06,B,16,175.0
BOGA LIME BOITE 24CL,4.0,BTE (1 PC),Eaux et Sodas,samedi,2024-06,A,16,138.0
OEUFS,4.0,PC (30 PC),Beurre Oeuf Fromage,samedi,2024-06,A,16,10.0
OLIVE DENOYETE,7.0,KG,Legumes Frais,samedi,2024-06,B,16,10.035
POIVRE NOIR MOULU,1.0,PC (1 KG),Epicerie,samedi,2024-06,B,16,1.0
BASILIC BARQUETTE,0.65,KG (1 KG),Legumes Frais,samedi,2024-06,A,16,2.75
POMME DE TERRE,29.65,KG (1 KG),Legumes Frais,samedi,2024-06,A,16,50.0
FARINE EN PAQUET,1.0,PC (1 KG),Epicerie,samedi,2024-06,A,16,50.0
FROMAGE MEULE GOUDA KG,7.95,KG (1 KG),Beurre Oeuf Fromage,samedi,2024-06,A,16,14.945
ESCALOPE POULET PANE CONGELE,13.35,KG (1 KG),Volaille Surgelée,samedi,2024-06,A,16,40.06
SANIT SURF,2.0,PC (1 PC),Hygiène,samedi,2024-06,A,16,5.0
CORNICHON FRAIS,2.0,KG (1 KG),Legumes Frais,samedi,2024-06,B,16,6.0
VIANDE HACHEE SPECIAL RESTO,6.0,PC (1 KG),Viandes Fraiches,samedi,2024-06,A,16,162.87
FROMAGE MOZZARELLA CARRE KG,30.0,KG (1 KG),Beurre Oeuf Fromage,samedi,2024-06,C,16,40.0
OEUFS,2.0,PC (30 PC),Beurre Oeuf Fromage,samedi,2024-06,A,16,10.0
CONCOMBRE,10.0,KG (1 KG),Legumes Frais,samedi,2024-06,A,16,34.4
TOMATE FRAICHE,41.9,KG (1 KG),Legumes Frais,samedi,2024-06,A,16,83.0
HUILE D'OLIVE POMACE,4.75,L,Epicerie,samedi,2024-06,B,16,19.0
OIGNONS BLANC,10.0,KG (1 KG),Legumes Frais,samedi,2024-06,A,16,33.65
MAYO 5L DEJ,20.0,KG (5000 GR),Beurre Oeuf Fromage,samedi,2024-06,A,16,25.0
FUT HEINEKEIN,20.0,PC (1 L),Alcools,samedi,2024-06,B,16,120.0
FILM ETIRABLE 725GR,2.0,PC (1 GR),Consommable,samedi,2024-06,A,16,6.0
GANT EN VINYL MEDUIM,200.0,SCH (1 PC),Hygiène,samedi,2024-06,A,16,1000.0
ROQUETTE SALADE BARQUETTE,1.3,KG (1 KG),Legumes Frais,samedi,2024-06,A,16,3.0
HUILE VEGETALE 5L,2.0,L (5 PC),Epicerie,samedi,2024-06,A,16,30.0
CUILLERE A CAFE PLASTIQUE,300.0,PC,Consommable,samedi,2024-06,A,16,5000.0
SALADE LAITUE TUN,40.3,KG (1 KG),Legumes Frais,samedi,2024-06,A,16,77.0
TOMATE FRAICHE,42.35,KG (1 KG),Legumes Frais,samedi,2024-06,A,16,83.0
JAMBON DE BOEUF FUME,4.65,KG (1 KG),Charcuterie,samedi,2024-06,A,16,8.1
TOMATE CERISES,1.3,KG (1 KG),Legumes Frais,samedi,2024-06,A,16,5.65
ASEPCLOR,5.0,PC (1 PC),Hygiène,samedi,2024-06,A,16,20.0
HARISSA 5/2,10.0,BOTTE (1 BTE),Epicerie,samedi,2024-06,A,16,24.0
COCA COLA BOITE 24CL,64.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,240.0
FANTA BOITE 24CL,48.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,120.0
CONCOMBRE,19.25,KG,Legumes Frais,samedi,2024-06,A,16,34.4
ESCALOPE POULET FRAIS,101.57,PC (1 KG),Volaille Surgelée,samedi,2024-06,A,16,136.28
COCA BOITE ZERO,48.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,166.0
BOGA LIME BOITE 24CL,48.0,BTE (1 PC),Eaux et Sodas,samedi,2024-06,A,16,138.0
LOT CAFE GRAIN ESPRESSO ELITE 3,4.0,PC (1 KG),Cafe,samedi,2024-06,A,16,12.0
LOT CAFE GRAIN ESPRESSO ELITE 3,6.0,PC (1 KG),Cafe,samedi,2024-06,A,16,12.0
GARCI GAZ P.E.T 1 L,8.0,L (1 GR),Eaux et Sodas,samedi,2024-06,A,16,103.0
FANTA BOITE 24CL,24.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,120.0
COCA COLA BOITE 24CL,30.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,240.0
BOGA LIME BOITE 24CL,24.0,BTE (1 PC),Eaux et Sodas,samedi,2024-06,A,16,138.0
EAU MELLITI PET 0,5 L,45.0,PC,Eaux et Sodas,samedi,2024-06,D,16,456.0
FANTA BOITE 24CL,24.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,120.0
COCA COLA BOITE 24CL,24.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,240.0
BOGA LIME BOITE 24CL,24.0,BTE (1 PC),Eaux et Sodas,samedi,2024-06,A,16,138.0
MAY 0.5L,74.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,1680.0
RISTRETTO NSPRS,150.0,PC (1 PC),Cafe,samedi,2024-06,A,16,1500.0
COCA COLA BOITE 24CL,18.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,240.0
COCA BOITE ZERO,5.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,166.0
COCA COLA BOITE 24CL,48.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,240.0
FANTA BOITE 24CL,5.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,120.0
ORANGE A JUS,40.0,KG (1 KG),Jus Fruit Lait,samedi,2024-06,A,16,121.0
GARCI GAZ P.E.T 1 L,6.0,L (1 GR),Eaux et Sodas,samedi,2024-06,A,16,103.0
COCA COLA BOITE 24CL,36.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,240.0
RED BULL,6.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,96.0
INTENSO NSPRS,100.0,PC,Cafe,samedi,2024-06,A,16,2000.0
MAY 0.5L,209.0,PC,Eaux et Sodas,samedi,2024-06,A,16,1680.0
FANTA BOITE 24CL,12.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,120.0
COCA COLA BOITE 24CL,12.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,240.0
COCA BOITE ZERO,12.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,166.0
BOGA LIME BOITE 24CL,12.0,BTE (1 PC),Eaux et Sodas,samedi,2024-06,A,16,138.0
GARCI GAZ P.E.T 1 L,4.0,L (1 GR),Eaux et Sodas,samedi,2024-06,A,16,103.0
LOT CAFE GRAIN ESPRESSO ELITE 3,3.0,PC (1 KG),Cafe,samedi,2024-06,A,16,12.0
MAY 0.5L,120.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,1680.0
JUS CITRONADE  CLASSIQUE 250 ml,40.0,PC (1 PC),Jus Fruit Lait,samedi,2024-06,A,16,80.0
COCA BOITE ZERO,24.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,166.0
MAY 0.5L,108.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,1680.0
JUS FRAISE  MINI CAMAROSA 250 ml,40.0,PC (1 PC),Jus Fruit Lait,samedi,2024-06,A,16,60.0
EAU MELLITI PET 0,5 L,24.0,PC,Eaux et Sodas,samedi,2024-06,D,16,456.0
BECK'S JET 24CL,29.0,BTL (1 PC),Alcools,samedi,2024-06,A,16,144.0
RED BULL,12.0,PC (1 PC),Eaux et Sodas,samedi,2024-06,A,16,96.0
RED BULL,10.0,PC (1 PC),Eaux et Sodas,dimanche,2024-06,A,16,96.0
"FRITE SURGELE 9/9 CLASSIC 2.5 KG,40.0,""KG (2,5 KG)"",Legumes Surgelés,dimanche,2024-06,A,16,60.0"
GARCI GAZ P.E.T 1 L,22.0,L (1 GR),Eaux et Sodas,dimanche,2024-06,A,16,103.0
COCA BOITE ZERO,42.0,PC (1 PC),Eaux et Sodas,dimanche,2024-06,A,16,166.0
COCA COLA BOITE 24CL,59.0,PC (1 PC),Eaux et Sodas,dimanche,2024-06,A,16,240.0
FANTA BOITE 24CL,49.0,PC (1 PC),Eaux et Sodas,dimanche,2024-06,A,16,120.0
MAY 0.5L,419.0,PC (1 PC),Eaux et Sodas,dimanche,2024-06,A,16,1680.0
FROMAGE MAASDAM EN BLOC PB,5.0,KG (1 KG),Beurre Oeuf Fromage,dimanche,2024-06,A,16,20.0
BOGA LIME BOITE 24CL,26.0,BTE (1 PC),Eaux et Sodas,dimanche,2024-06,A,16,138.0
CREME A FOUETTER,4.0,PC (1 KG),Beurre Oeuf Fromage,dimanche,2024-06,B,16,10.0
MAY 0.5L,5.0,PC (1 PC),Eaux et Sodas,dimanche,2024-06,A,16,1680.0
Muffin daily'n,5.0,PC (1 PC),Pâtisseries,dimanche,2024-06,A,16,958.0
INTENSO NSPRS,200.0,PC,Cafe,dimanche,2024-06,A,16,2000.0
RISTRETTO NSPRS,100.0,PC (1 PC),Cafe,dimanche,2024-06,A,16,1500.0
JUS STILL 20 CL,5.0,PC,Jus Fruit Lait,dimanche,2024-06,A,16,192.0
FILM ETIRABLE 725GR,1.0,PC (1 GR),Consommable,dimanche,2024-06,A,16,6.0
ESSUIT TOUT JUMBO,3.0,PC (1 KG),Hygiène,dimanche,2024-06,A,16,13.0
ANANAS PCES,10.0,PC (1 PC),Fruits & Legumes Frais,dimanche,2024-06,A,16,34.0
GANT EN VINYL  XL,100.0,SCH (1 PC),Hygiène,dimanche,2024-06,A,16,1000.0
FRAISE FRAIS,5.2,KG (1 KG),Fruits & Legumes Frais,dimanche,2024-06,A,16,10.35
EAU MINERALE 1,5L,18.0,PC (1 PC),Eaux et Sodas,dimanche,2024-06,A,16,3970.0
KIWI,50.0,PC (1 PC),Fruits & Legumes Frais,dimanche,2024-06,A,16,109.0
PAPIER ALUM DE 100,1.0,PC (1 PC),Consommable,dimanche,2024-06,B,16,4.0
KETCHUP BIDON 5L,10.0,PC (1 KG),Epicerie,dimanche,2024-06,B,16,10.0
FILM ETIRABLE 725GR,1.0,PC (1 GR),Consommable,dimanche,2024-06,A,16,6.0
CITRON,1.0,KG (1 KG),Legumes Frais,dimanche,2024-06,A,16,7.0
"CHOCOLAT EN POUDRE,1.0,""PC (0,2 KG)"",Cafe,dimanche,2024-06,A,16,12.0"
SANIT SURF,1.0,PC (1 PC),Hygiène,dimanche,2024-06,A,16,5.0
MAYO 5L DEJ,15.0,KG (5000 GR),Beurre Oeuf Fromage,dimanche,2024-06,A,16,25.0
ORANGE A JUS,36.0,KG (1 KG),Jus Fruit Lait,dimanche,2024-06,A,16,121.0
CORNICHON FRAIS,2.0,KG (1 KG),Legumes Frais,dimanche,2024-06,B,16,6.0
HUILE VEGETALE 5L,3.0,L (5 PC),Epicerie,dimanche,2024-06,A,16,30.0
CONCOMBRE,10.0,KG (1 KG),Legumes Frais,dimanche,2024-06,A,16,34.4
GANT EN VINYL  XL,400.0,SCH (1 PC),Hygiène,dimanche,2024-06,A,16,1000.0
FROMAGE EDAM MEULE,3.546,KG (1 KG),Beurre Oeuf Fromage,dimanche,2024-06,B,16,21.65
JUS CITRONADE  CLASSIQUE 250 ml,10.0,PC (1 PC),Jus Fruit Lait,dimanche,2024-06,A,16,80.0
AJAX VITRE,1.0,PC (1 PC),Hygiène,dimanche,2024-06,A,16,10.0
HARISSA 450G,5.0,BTE (1 BTE),Epicerie,dimanche,2024-06,C,16,10.0
ESSUIT TOUT JUMBO,1.0,PC (1 KG),Hygiène,dimanche,2024-06,A,16,13.0
"THON EN BOITES,10.0,""BTE (2,05 KG)"",Conserve de Poisson,dimanche,2024-06,A,16,40.0"
CUILLERE A CAFE PLASTIQUE,1000.0,PC (1 PC),Consommable,dimanche,2024-06,A,16,5000.0
FOURCHETTE NOIRE EMBALEE EJEM,500.0,PC,Consommable,dimanche,2024-06,A,16,2000.0
SUCRE GLACE,4.0,PC (1 PC),Pâtisseries,dimanche,2024-06,D,16,10.0
ORANGE A JUS,1.5,KG (1 KG),Jus Fruit Lait,dimanche,2024-06,A,16,121.0
BEURRE MARGARINE  KG,4.5,PC (1 KG),Beurre Oeuf Fromage,dimanche,2024-06,C,16,9.0
ESSUIT TOUT JUMBO,2.0,PC (1 KG),Hygiène,dimanche,2024-06,A,16,13.0
EMINCE DE BOEUF PORT. SURGELE,2.0,KG (1000 GR),Viandes Surgelées,dimanche,2024-06,A,16,59.39
ESCALOPE POULET PANE CONGELE,8.94,KG (1 KG),Volaille Surgelée,dimanche,2024-06,A,16,40.06
FILM ETIRABLE 725GR,2.0,PC (1 GR),Consommable,dimanche,2024-06,A,16,6.0
COUVERCLE GOBLET TRSP 35 CL EJEM,400.0,PC (1 PC),Consommable,dimanche,2024-06,B,16,1000.0
CACAHUETES GRILLEES SALEES 70GR,12.0,PC (1 PC),Fruits Secs,dimanche,2024-06,C,16,36.0
LAVETTE COTON,6.0,PC (1 PC),Hygiène,dimanche,2024-06,A,16,50.0
"CHOCOLAT EN POUDRE,1.0,""PC (0,2 KG)"",Cafe,dimanche,2024-06,A,16,12.0"
ESSUIT TOUT JUMBO,1.0,PC (1 KG),Hygiène,dimanche,2024-06,A,16,13.0
FORTE NSPRS,150.0,PC (1 PC),Cafe,dimanche,2024-06,A,16,1500.0
DADDY'S CHIPS SAVORY TRUFFE PARMESAN 70G,15.0,PC (1 PC),Epicerie,dimanche,2024-06,B,16,45.0
SANIT SURF,1.0,PC (1 PC),Hygiène,dimanche,2024-06,A,16,5.0
MIX A CREPE FRANCAISE,10.0,SAC (1 SAC),Pâtisseries,dimanche,2024-06,B,16,50.0
LAIT UHT DEMI ECREME,24.0,PQT (1 L),Jus Fruit Lait,dimanche,2024-06,A,16,82.0
SALADE LAITUE TUN,12.3,KG (1 KG),Legumes Frais,dimanche,2024-06,A,16,77.0
OEUFS,5.0,PC (30 PC),Beurre Oeuf Fromage,dimanche,2024-06,A,16,10.0
CUILLERE A CAFE PLASTIQUE,1000.0,PC (1 PC),Consommable,dimanche,2024-06,A,16,5000.0
LAIT UHT DEMI ECREME,36.0,PQT (1 L),Jus Fruit Lait,dimanche,2024-06,A,16,82.0
SET DE PLATEAU DB,1000.0,PC,Consommable,dimanche,2024-06,B,16,5000.0
EAU MINERALE 1,5L,12.0,PC,Eaux et Sodas,dimanche,2024-06,A,16,3970.0
FANTA BOITE 24CL,1.0,PC (1 PC),Eaux et Sodas,dimanche,2024-06,A,16,120.0
COCA COLA BOITE 24CL,4.0,PC (1 PC),Eaux et Sodas,dimanche,2024-06,A,16,240.0
JUS FRAISE  MINI CAMAROSA 250 ml,10.0,PC (1 PC),Jus Fruit Lait,dimanche,2024-06,A,16,60.0
GOBLET PET 350 CC,300.0,PC (1 PC),Consommable,dimanche,2024-06,A,16,1300.0
