Name,Physical Storage Quantity,Storage Unit,GroupName,Date_week,Month,Stock_Class,Cycle,Max_Stock
FRAISE FRAIS,35.7,KG (1 KG),Fruits & Legumes Frais,samedi,2024-06,A,16,64.35
FRITE SURGELE 9/9 CLASSIC 2.5 KG,178.0,KG (2.5 KG),Legumes Surgelés,vendredi,2024-05,A,16,290.0
FROMAGE CHEDDAR EN BLOC,20.0,KG (1 KG),Beurre Oeuf Fromage,dimanche,2024-06,A,16,65.0
FROMAGE EDAM MEULE,20.846,KG (1 KG),Beurre Oeuf Fromage,dimanche,2024-06,B,16,35.622
FROMAGE GOUTA,1.0,KG,Beurre Oeuf Fromage,mercredi,2024-06,C,16,16.0
FROMAGE LAND OR,25.4,PC (1 KG),Beurre Oeuf Fromage,samedi,2024-06,A,16,25.4
FROMAGE MEULE GOUDA KG,19.78,KG (1 KG),Beurre Oeuf Fromage,samedi,2024-06,A,16,32.932
FROMAGE MOZARELLA CARRE KG,7.0,KG (1 KG),Beurre Oeuf Fromage,vendredi,2024-05,B,16,145.0
FROMAGE MOZZARELLA CARRE KG,143.0,KG (1 KG),Beurre Oeuf Fromage,samedi,2024-06,C,16,155.0
GANT EN VINYL  XL,4700.0,SCH (1 PC),Hygiène,samedi,2024-06,A,16,12500.0
GANT EN VINYL MEDUIM,3400.0,SCH (1 PC),Hygiène,samedi,2024-06,A,16,5700.0
GARCI GAZ P.E.T 1 L,332.0,L (1 GR),Eaux et Sodas,vendredi,2024-05,A,16,344.0
GATEAU CHOCOLAT PBC,40.0,PC (1 PC),Viennoiserie,lundi,2024-06,B,16,100.0
GOBLET 6.5 0Z MF,450.0,PC (1 PC),Consommable,samedi,2024-06,B,16,1850.0
GOBLET 6.5 PLAN B,3000.0,PC (1 PC),Consommable,vendredi,2024-06,B,16,3300.0
GOBLET 9 PLAN B,3000.0,PC,Consommable,vendredi,2024-06,B,16,3000.0
GOBLET CAFE 192 ML CIG,2000.0,PC (1 PC),Consommable,dimanche,2024-06,B,16,4000.0
GOBLET CARTON 17 CL CIGUSTA,200.0,PC,Consommable,mardi,2024-06,C,16,3000.0
GOBLET CARTON GOURM 19 CL,2000.0,PC (1 PC),Consommable,dimanche,2024-06,B,16,4000.0
GOBLET CARTON GOURM 25CL,2000.0,PC (1 PC),Consommable,dimanche,2024-06,B,16,4000.0
GOBLET CI CAFE CIGUSTA,300.0,PC,Consommable,vendredi,2024-05,B,16,1000.0
GOBLET DB 19 CC,5500.0,PC (1 PC),Consommable,samedi,2024-06,A,16,12000.0
GOBLET DB 25 CC,3900.0,PC (1 PC),Consommable,samedi,2024-06,A,16,11600.0
GOBLET JUS TRANSPARENT CI GUSTA,100.0,PC,Consommable,dimanche,2024-06,C,16,1000.0
GOBLET PET 350 CC,2800.0,PC (1 PC),Consommable,samedi,2024-06,A,16,5950.0
GOBLET PP TRANSPARENT 200CC/80MM YOZEL,300.0,PC,Consommable,mardi,2024-06,D,16,700.0
GOBLET TRA 270ML + COUVERCLE,200.0,PC (1 PC),Consommable,mardi,2024-06,C,16,1000.0
HARISSA 5/2,38.0,BOTTE (1 BTE),Epicerie,vendredi,2024-05,A,16,53.0
HEINEKEN BLLE 30CL,570.0,BTL,Alcools,samedi,2024-06,A,16,1061.0
HUILE D'OLIVE POMACE,14.25,L,Epicerie,samedi,2024-06,B,16,28.5
HUILE VEGETALE 5L,28.0,L (5 PC),Epicerie,vendredi,2024-05,A,16,54.0
INTENSO NSPRS,1900.0,PC,Cafe,vendredi,2024-05,A,16,4050.0
JEX CARRE,51.0,PC (1 PC),Hygiène,samedi,2024-06,A,16,180.0
JUS CITRONADE  CLASSIQUE 250 ml,1247.0,PC (1 PC),Jus Fruit Lait,vendredi,2024-05,A,16,1403.0
JUS FRAISE  MINI CAMAROSA 250 ml,1083.0,PC (1 PC),Jus Fruit Lait,vendredi,2024-05,A,16,1210.0
JUS STILL 20 CL,456.0,PC (1 PC),Jus Fruit Lait,vendredi,2024-05,A,16,552.0
KETCHUP BIDON 5L,15.0,PC (1 KG),Epicerie,dimanche,2024-06,B,16,35.0
KINDER T4,40.0,PC (1 PC),Epicerie,samedi,2024-06,B,16,180.0
KIWI,415.0,PC (1 PC),Fruits & Legumes Frais,vendredi,2024-05,A,16,641.0
LAIT UHT DEMI ECREME,888.0,PQT (1 L),Jus Fruit Lait,vendredi,2024-05,A,16,1322.0
LAVETTE COTON,113.0,PC (1 PC),Hygiène,samedi,2024-06,A,16,149.0
LEVURE BOULANGERE NORMALE,2.0,PC,Boulangerie_R,samedi,2024-06,B,16,34.0
LOT CAFE GRAIN ESPRESSO ELITE 3,43.0,PC (1 KG),Cafe,samedi,2024-06,A,16,128.0
LOT CAFE GRAINS  PUR EXPRESS,44.0,KG,Cafe,vendredi,2024-05,A,16,73.0
MAIS EN BOITE,34.75,KG (1 KG),Viandes Surgelées,vendredi,2024-05,A,16,92.0
MARINADE POULET GRILLE 2KG PB,28.0,PC (1 KG),Volaille Surgelée,dimanche,2024-06,A,16,36.0
MAY 0.5L,6913.0,PC,Eaux et Sodas,vendredi,2024-05,A,16,22614.0
MAYO 5L DEJ,165.0,KG (5000 GR),Beurre Oeuf Fromage,vendredi,2024-05,A,16,170.0
MENTOS ROLLS FRUIT FLAVOUR,40.0,PC (1 PC),Epicerie,dimanche,2024-06,D,16,80.0
MENTOS ROLLS MENTHE,80.0,PC (1 PC),Epicerie,dimanche,2024-06,D,16,80.0
MENTOS ROLLS RAINBOW,40.0,PC (1 PC),Epicerie,samedi,2024-06,D,16,120.0
MENTOS ROLLS TUTTI FRUTTI,40.0,PC (1 PC),Epicerie,samedi,2024-06,D,16,80.0
MIRA 1L,1113.0,PC,Eaux et Sodas,vendredi,2024-05,A,16,1848.0
MIX A CREPE FRANCAISE,40.0,SAC (1 SAC),Pâtisseries,dimanche,2024-06,B,16,150.0
MOELLEUX CHOCOLAT,36.0,PC (1 PC),Viennoiserie,dimanche,2024-06,C,16,108.0
MOUTARDE DIJON 840 GR,5.0,BTE (840 GR),Epicerie,samedi,2024-06,B,16,25.0
MUFFINS VANILLE,48.0,PC (1 PC),Viennoiserie,mardi,2024-06,B,16,96.0
Muffin daily'n,563.0,PC,Pâtisseries,vendredi,2024-05,A,16,1109.0
NOIX DE CAJOU GRILLES SALEES 65GR,60.0,PC (1 PC),Fruits Secs,dimanche,2024-06,B,16,96.0
NUGGETS PANE PB,50.0,PC (1 PC),Volaille Surgelée,samedi,2024-06,A,16,275.0
OEUFS,58.0,PC (30 PC),Beurre Oeuf Fromage,vendredi,2024-05,A,16,83.0
OIGNONS BLANC,52.5,KG (1 KG),Legumes Frais,vendredi,2024-05,A,16,127.3
OIGNONS ROUGE,61.7,KG (1 KG),Legumes Frais,samedi,2024-06,A,16,119.4
OLIVE DENOYETE,21.0,KG,Legumes Frais,samedi,2024-06,B,16,35.0
OLIVE NOIRE SLICE,7.0,KG (1 KG),Legumes Frais,vendredi,2024-06,B,16,35.0
OLIVE VIOLETTE,10.0,KG (1 KG),Legumes Frais,samedi,2024-06,C,16,14.0
ORANGE A JUS,1138.2,KG (1 KG),Jus Fruit Lait,vendredi,2024-05,A,16,2117.05
PAIN AU CHOCOLAT PUR BERRE GF SURG.,1600.0,PC (1 PC),Viennoiserie,mardi,2024-06,B,16,4400.0
PAIN CHAWARMA *10,59.0,PQT (10 PC),Boulangerie_R,vendredi,2024-05,A,16,115.0
PAIN CIABATTA NATURE,3250.0,PC,Boulangerie_R,vendredi,2024-05,A,16,6590.0
PAIN DE MIE NATURE,130.0,PC,Boulangerie_R,vendredi,2024-05,B,16,130.0
PAIN HAMBURGER AC,230.0,PC,Boulangerie_R,vendredi,2024-05,A,16,836.0
PAIN SANDWICH CI GUSTA,275.0,PC (1 PC),Boulangerie_R,vendredi,2024-05,A,16,777.0
PAIN SCHNECK AUX RAISINS SURG PUR BEURRE GF,250.0,PC (1 PC),Viennoiserie,mardi,2024-06,B,16,1200.0
PAIN SHNEK AU RAISIN MARGARINE,275.0,PC (1 KG),Pâtisseries,mardi,2024-06,C,16,700.0
PAPIER SERVIETTE GOURMANDISE,80.0,PC (1 PC),Consommable,dimanche,2024-06,B,16,128.0
PATE PIZZA FOCACCIA 12/40,115.0,PC,Boulangerie_R,vendredi,2024-05,A,16,170.0
PATE PIZZA FOCACCIA D32 CM,25.0,PC,Boulangerie_R,vendredi,2024-05,C,16,50.0
PATE PIZZA PANCROCCHINO 12/40,250.0,PC,Boulangerie_R,vendredi,2024-05,A,16,520.0
PECHES,11.35,KG (1 KG),Fruits & Legumes Frais,dimanche,2024-06,A,16,27.5
PEPITTE DE DECORATION NOIRE KG,1.985,KG (1000 GR),Epicerie,lundi,2024-06,D,16,8.5
PIMENT DOUX,44.95,KG (1 KG),Legumes Frais,lundi,2024-06,A,16,97.3
PIMENT FORT,48.6,KG (1 KG),Legumes Frais,vendredi,2024-05,A,16,78.95
POIS CHICHE KG,1.0,PC (1 PC),Legumes Secs,mardi,2024-06,C,16,8.0
POMME (FRUIT),1.0,KG (1 KG),Fruits & Legumes Frais,dimanche,2024-06,A,16,22.15
POMME DE TERRE,189.95,KG (1 KG),Legumes Frais,vendredi,2024-05,A,16,292.25
POUDRE TENDERS PB,25.0,KG (1 KG),Volaille Surgelée,samedi,2024-06,B,16,42.0
POULET PANE AMANDE PB,200.0,PC (40 PC),Volaille Surgelée,samedi,2024-06,A,16,350.0
RAME PAPIER A4,7.0,PC (1 PC),Fournitures de Bureau,dimanche,2024-06,B,16,23.0
RED BULL,268.0,PC,Eaux et Sodas,vendredi,2024-05,A,16,609.0
REMANENT HERBE CF,1.0,PC,Hygiène,mardi,2024-06,B,16,10.0
RIZ EN PAQUET,6.0,PC (1 PC),Epicerie,dimanche,2024-06,C,16,35.0
ROULEAU CAISSE 80*80,65.0,PC (1 PC),Fournitures de Bureau,dimanche,2024-06,A,16,205.0
ROULEAU TPE,150.0,PC (1 PC),Fournitures de Bureau,dimanche,2024-06,A,16,286.0
SAC A POUBELLE GEANT BLANC,1550.0,PC (1 PC),Hygiène,samedi,2024-06,A,16,2075.0
SAC BOUTIQUE GDISE HD 40/35 BLANC,400.0,PC,Consommable,lundi,2024-06,D,16,1000.0
SAC GROUPAGE DB,6000.0,PC (1 PC),Consommable,dimanche,2024-06,B,16,6000.0
SAC SANDWICH,6000.0,PC,Consommable,jeudi,2024-06,C,16,7500.0
SAC SANDWICH DAILY BREAK,4000.0,PC (1 PC),Consommable,dimanche,2024-06,B,16,10000.0
SAC SOUS VIDE LISSE 15*20,100.0,PC (1 PC),Consommable,samedi,2024-06,D,16,1900.0
SACHET BRETELLE GM,300.0,PC (1 PC),Consommable,samedi,2024-06,B,16,1000.0
SACHET BRETELLES 38X60 MF,50.0,PC (1 PC),Consommable,samedi,2024-06,B,16,225.0
SACHET CONGELATION,3.0,PC (1 KG),Consommable,lundi,2024-06,D,16,10.0
SALADE LAITUE TUN,274.45,KG (1 KG),Legumes Frais,vendredi,2024-05,A,16,393.7
SANIT SURF,22.0,PC (1 PC),Hygiène,samedi,2024-06,A,16,51.0
SAUCE BARBECUE PB,5.0,KG,Epicerie,dimanche,2024-06,D,16,15.0
SAUCE PLAN B 5KG,15.0,SEAU (1000 GR),Epicerie,dimanche,2024-06,B,16,25.0
SAVON LIQ OXY'SOAP 1L,1.0,L (1 L),Hygiène,lundi,2024-06,A,16,12.0
SCHWEPPES TONIC 24 CL,12.0,PC (1 PC),Eaux et Sodas,dimanche,2024-06,D,16,31.0
SEL FIN DE TABLE,5.0,PC (1 KG),Epicerie,samedi,2024-06,B,16,23.0
SERPILLERE,68.0,PC (1 PC),Hygiène,samedi,2024-06,A,16,122.0
SERVIETTE 30*30 CIGUSTA,96.0,PC,Consommable,dimanche,2024-06,B,16,192.0
SERVIETTE EN PAPIER 30*30,504.0,PC (1 PC),Consommable,samedi,2024-06,A,16,786.0
SET DE PLATEAU DB,5000.0,PC,Consommable,dimanche,2024-06,B,16,9000.0
SOUS FONDANT PERSONNALISE,400.0,PC (1 PC),Consommable,vendredi,2024-06,B,16,1200.0
STYLO BIC,4.0,PC (1 PC),Fournitures de Bureau,mardi,2024-06,C,16,175.0
SUCRE BLANC EN SACHET GOURM,1000.0,PC (1 PC),Cafe,lundi,2024-06,B,16,4000.0
SUCRE EN SACHET CI-GUSTA,20.0,PC (1 PC),Cafe,mardi,2024-06,B,16,120.0
SUCRE EN SACHET DAILY BREAK,110.0,PC (1 KG),Cafe,samedi,2024-06,A,16,230.0
SUCRE GLACE,27.0,PC (1 PC),Pâtisseries,vendredi,2024-05,D,16,27.0
SUCRE ROUX EN SACHET GOURM,2000.0,PC (1 PC),Cafe,lundi,2024-06,C,16,4000.0
THE NOIR MENTHE S SUCRE,540.0,PC (1 PC),THE,samedi,2024-06,C,16,720.0
THON EN BOITES,100.0,BTE (2.05 KG),Conserve de Poisson,samedi,2024-06,A,16,164.0
TIC TAC MENTHE,12.0,PC (1 PC),Epicerie,dimanche,2024-06,D,16,36.0
TIC TAC ORANGE,12.0,PC (1 PC),Epicerie,dimanche,2024-06,D,16,36.0
TIC TAC SPEARMINT,12.0,PC (1 PC),Epicerie,dimanche,2024-06,D,16,60.0
TOMATE CERISES,8.5,KG (1 KG),Legumes Frais,vendredi,2024-05,A,16,24.95
TOMATE CONCENTRE 4/4,12.0,PC (1 PC),Epicerie,mardi,2024-06,D,16,24.0
TOMATE FRAICHE,366.05,KG (1 KG),Legumes Frais,vendredi,2024-05,A,16,526.85
VIANDE HACHEE SPECIAL RESTO,54.0,PC (1 KG),Viandes Fraiches,vendredi,2024-05,A,16,191.07
AJAX VITRE,15.0,PC (1 PC),Hygiène,lundi,2024-06,A,17,32.0
AMANDES GRILEES SALEES 70GR,24.0,PC (1 PC),Fruits Secs,mardi,2024-06,B,17,84.0
AMSTEL BEER BLLE 33CL,189.0,BTL (1 BTL),Alcools,mardi,2024-06,B,17,432.0
ASEPCLOR,20.0,PC (1 PC),Hygiène,mardi,2024-06,A,17,60.0
BACON DE DINDE TRANCHES (1 - 1.5 KG),19.5,KG (1 KG),Charcuterie,vendredi,2024-06,B,17,43.0
BAGUETTE CONG.,305.0,PC (1 PC),Boulangerie_R,jeudi,2024-06,B,17,730.0
BALAIS SANS MANCHE,1.0,PC (1 PC),Hygiène,mardi,2024-06,C,17,9.0
BARQUETTE CARTON CIG,1875.0,PC (1 PC),Consommable,lundi,2024-06,B,17,3000.0
BARQUETTE CARTON DB,1500.0,PC (1 PC),Consommable,samedi,2024-06,B,17,2900.0
BECK'S JET 24CL,133.0,BTL (1 PC),Alcools,lundi,2024-06,A,17,683.0
BISCUIT TUC,48.0,PC (1 PC),Epicerie,mardi,2024-06,D,17,120.0
BOGA CIDRE BOITE,118.0,PC (1 PC),Eaux et Sodas,dimanche,2024-06,C,17,223.0
BOGA CIDRE PET 30 CL,132.0,PC (1 PC),Eaux et Sodas,jeudi,2024-06,C,17,182.0
BOGA LIME BOITE 24CL,539.0,BTE (1 PC),Eaux et Sodas,lundi,2024-06,A,17,1322.0
BOGA PET 30CL,72.0,PQT (1 PQT),Eaux et Sodas,vendredi,2024-06,B,17,261.0
BOITE A CREPE,1500.0,PC (1 PC),Consommable,dimanche,2024-06,B,17,3150.0
BOITE PIZZA 32 cm,50.0,PC (1 PC),Consommable,mardi,2024-06,C,17,200.0
BOITE PIZZA ONDULEE 31/31,200.0,PC,Consommable,mardi,2024-06,C,17,200.0
BOITE PIZZA PM CIG,200.0,PC (1 PC),Consommable,lundi,2024-06,B,17,500.0
BON DE TRANSFERT 50*3,6.0,PC (1 PC),Fournitures de Bureau,lundi,2024-06,B,17,15.0
BRIOCHE TORSADEE PUR BEURRE PEPITE CHOCO GF,250.0,PC (1 PC),Viennoiserie,vendredi,2024-06,B,17,1500.0
Beurre 200Gr,12.0,PC (200 GR),Beurre Oeuf Fromage,jeudi,2024-06,C,17,83.0
CAKE CHOCOLAT PBC,24.0,PC (1 PC),Viennoiserie,mardi,2024-06,B,17,88.0
CAKE CITRON PBC,72.0,PC (1 PC),Viennoiserie,mardi,2024-06,B,17,216.0
CAKE MARBRE MARGARINE,341.0,PC (1 PC),Pâtisseries,jeudi,2024-06,A,17,561.0
CAKE MARBRE PBC,187.0,PC (1 PC),Viennoiserie,mardi,2024-06,A,17,363.0
CAKE NATURE MARGARINE,66.0,PC (1 PC),Pâtisseries,jeudi,2024-06,C,17,132.0
CAKE ORANGE PBC,36.0,PC (1 PC),Viennoiserie,mardi,2024-06,B,17,170.0
CAROTTE,24.15,KG (1 KG),Legumes Frais,jeudi,2024-06,A,17,67.1
CAROTTE CAKE PBC,121.0,PC (1 PC),Viennoiserie,mardi,2024-06,B,17,330.0
CELTIA JET 25CL,201.0,PC (1 PC),Alcools,lundi,2024-06,A,17,591.0
CHAMPIGNON FRAIS BARQUETTE,11.0,KG (1 KG),Legumes Frais,samedi,2024-06,A,17,34.5
CHOCOLAT EN POUDRE,28.0,PC (0.2 KG),Cafe,vendredi,2024-06,A,17,86.0
CHOUX VERT,3.1500000000000004,KG (1 KG),Legumes Frais,mardi,2024-06,B,17,12.8
COCA BOITE ZERO,403.0,PC (1 PC),Eaux et Sodas,lundi,2024-06,A,17,990.0
COCA COLA BOITE 24CL,1460.0,PC (1 PC),Eaux et Sodas,lundi,2024-06,A,17,2855.0
COCA COLA PET 30CL,263.0,PQT (1 PQT),Eaux et Sodas,lundi,2024-06,B,17,435.0
COCA COLA ZERO 30 CL,80.0,PC (1 PC),Eaux et Sodas,vendredi,2024-06,B,17,148.0
COFFRET PORTRAIT AV SEP 11.5/11.5,100.0,PC (1 PC),Consommable,jeudi,2024-06,C,17,175.0
CONCOMBRE,83.8,KG (1 KG),Legumes Frais,mercredi,2024-06,A,17,177.692
COOKIES,40.0,PC,Viennoiserie,mardi,2024-06,C,17,120.0
COURGE,19.6,KG (1 KG),Legumes Frais,mercredi,2024-06,B,17,47.65
COUSCOUS EN PAQUET,5.0,PC (1 PC),Epicerie,mercredi,2024-06,D,17,28.0
COUTEAU NOIRE EMBALLE EJEM,1000.0,PC (1 PC),Consommable,mercredi,2024-06,B,17,4000.0
COUVERCLE GOBLET TRSP 35 CL EJEM,2450.0,PC (1 PC),Consommable,mardi,2024-06,B,17,3000.0
CREME A FOUETTER,1.0,PC (1 KG),Beurre Oeuf Fromage,vendredi,2024-06,B,17,16.0
CREME A FOUETTER 1LT HOLE,12.0,PC,GLACES,lundi,2024-06,C,17,31.0
CREME DE CUISSON,5.0,L (0.95 L),Beurre Oeuf Fromage,lundi,2024-06,B,17,27.0
CROISSANT AU CHOCOLAT MARGARINE,200.0,PC (1 PC),Pâtisseries,vendredi,2024-06,C,17,750.0
CROISSANT AUX AMANDES  PUR BEURRE GF,250.0,PC (1 PC),Viennoiserie,vendredi,2024-06,B,17,1200.0
CROISSANT NATURE  PUR BEURRE GF,1200.0,PC (1 PC),Viennoiserie,vendredi,2024-06,B,17,5400.0
CROISSANT NATURE MARGARINE,200.0,PC (1 PC),Pâtisseries,vendredi,2024-06,C,17,675.0
CUILLERE A CAFE PLASTIQUE,19400.0,PC,Consommable,lundi,2024-06,A,17,28100.0
CUISSE DE POULET FRAIS,22.450000000000003,KG (1 KG),Volaille Fraiche,mardi,2024-06,C,17,47.85
DADDY'S CHIPS CLASSIC SEL DE MER 70G,90.0,PC,Epicerie,mercredi,2024-06,A,17,225.0
DADDY'S CHIPS SAVORY TRUFFE PARMESAN 70G,30.0,PC (1 PC),Epicerie,mardi,2024-06,B,17,165.0
DADDY'S CHIPS SPICY PAPRIKA 70G,75.0,PC (1 PC),Epicerie,lundi,2024-06,A,17,165.0
DINOL,75.0,BIDON (1 KG),Hygiène,mardi,2024-06,A,17,135.0
DOSETTE KETCHUP PB,2000.0,PC (1000 PC),Epicerie,mardi,2024-06,C,17,4000.0
DOSETTE MAYO PB,2000.0,PC,Epicerie,mardi,2024-06,C,17,4000.0
EAU MELLITI PET 0.5 L,6.0,PC,Eaux et Sodas,vendredi,2024-06,D,17,901.0
EAU MINERALE 1.5L,391.0,PC (1 PC),Eaux et Sodas,lundi,2024-06,A,17,4556.0
EMBALLAGE CREPE CIG,800.0,PC,Consommable,lundi,2024-06,B,17,2000.0
EMINCE DE BOEUF PORT. SURGELE,21.8,KG (1000 GR),Viandes Surgelées,lundi,2024-06,A,17,79.49000000000001
ESCALOPE POULET CONGELÉ,47.05,PC (1 KG),Volaille Surgelée,samedi,2024-06,C,17,254.36
ESCALOPE POULET FRAIS,220.57,PC (1 KG),Volaille Surgelée,mardi,2024-06,A,17,503.16
ESCALOPE POULET PANE CONGELE,58.47,KG (1 KG),Volaille Surgelée,jeudi,2024-06,A,17,128.91
ESSUIT TOUT JUMBO,93.0,PC (1 KG),Hygiène,lundi,2024-06,A,17,157.0
ETUI SANDWICH,1000.0,PC (1 PC),Consommable,mardi,2024-06,B,17,4000.0
FANTA BOITE 24CL,634.0,PC (1 PC),Eaux et Sodas,lundi,2024-06,A,17,1328.0
FANTA PET 30CL,156.0,PC (1 PQT),Eaux et Sodas,lundi,2024-06,B,17,312.0
FARINE EN PAQUET,64.0,PC (1 KG),Epicerie,lundi,2024-06,A,17,252.0
FILM ETIRABLE 725GR,23.0,PC (1 GR),Consommable,lundi,2024-06,A,17,38.0
FOND DE PLATEAU CIG,2000.0,PC (1 PC),Consommable,lundi,2024-06,C,17,3000.0
FORTE NSPRS,2250.0,PC (1 PC),Cafe,lundi,2024-06,A,17,5150.0
FRITE SURGELE 9/9 CLASSIC 2.5 KG,180.0,KG (2.5 KG),Legumes Surgelés,lundi,2024-06,A,17,290.0
FROMAGE CHEDDAR EN BLOC,20.0,KG,Beurre Oeuf Fromage,mercredi,2024-06,A,17,65.0
FROMAGE EDAM MEULE,11.65,KG (1 KG),Beurre Oeuf Fromage,mardi,2024-06,B,17,35.622
FROMAGE LAND OR,16.25,PC (1 KG),Beurre Oeuf Fromage,mercredi,2024-06,A,17,25.4
FROMAGE MEULE GOUDA KG,15.16,KG (1 KG),Beurre Oeuf Fromage,mardi,2024-06,A,17,32.932
FROMAGE MOZZARELLA CARRE KG,100.0,KG (1 KG),Beurre Oeuf Fromage,mardi,2024-06,C,17,155.0
GANT EN VINYL  XL,5900.0,SCH (1 PC),Hygiène,lundi,2024-06,A,17,12500.0
GANT EN VINYL MEDUIM,2600.0,SCH (1 PC),Hygiène,lundi,2024-06,A,17,5700.0
GARCI GAZ P.E.T 1 L,227.0,L (1 GR),Eaux et Sodas,lundi,2024-06,A,17,344.0
GATEAU CHOCOLAT PBC,40.0,PC (1 PC),Viennoiserie,jeudi,2024-06,B,17,100.0
GOBLET 6.5 0Z MF,1400.0,PC (1 PC),Consommable,lundi,2024-06,B,17,1850.0
GOBLET CAFE 192 ML CIG,3000.0,PC (1 PC),Consommable,lundi,2024-06,B,17,4000.0
GOBLET CARTON 17 CL CIGUSTA,750.0,PC (1 PC),Consommable,lundi,2024-06,C,17,3000.0
GOBLET CARTON GOURM 19 CL,1000.0,PC (1 PC),Consommable,jeudi,2024-06,B,17,4000.0
GOBLET CARTON GOURM 25CL,2000.0,PC (1 PC),Consommable,jeudi,2024-06,B,17,4000.0
GOBLET CI CAFE CIGUSTA,400.0,PC (1 PC),Consommable,lundi,2024-06,B,17,1000.0
GOBLET DB 19 CC,9000.0,PC (1 PC),Consommable,lundi,2024-06,A,17,12000.0
GOBLET DB 25 CC,7300.0,PC (1 PC),Consommable,lundi,2024-06,A,17,11600.0
GOBLET JUS TRANSPARENT CI GUSTA,200.0,PC,Consommable,lundi,2024-06,C,17,1000.0
GOBLET PET 350 CC,4400.0,PC (1 PC),Consommable,mardi,2024-06,A,17,5950.0
GOBLET PET 400CC,200.0,PC,Consommable,lundi,2024-06,B,17,2300.0
GOBLET PP TRANSPARENT 200CC/80MM YOZEL,400.0,PC (1 PC),Consommable,mardi,2024-06,D,17,700.0
GOBLET TRA 270ML + COUVERCLE,200.0,PC (1 PC),Consommable,lundi,2024-06,C,17,1000.0
HARISSA 5/2,37.0,BOTTE (1 BTE),Epicerie,lundi,2024-06,A,17,53.0
HEINEKEN BLLE 30CL,662.0,BTL (1 BTL),Alcools,mardi,2024-06,A,17,1061.0
HUILE D'OLIVE POMACE,19.0,L,Epicerie,lundi,2024-06,B,17,28.5
HUILE VEGETALE 5L,42.0,L (5 PC),Epicerie,lundi,2024-06,A,17,54.0
INTENSO NSPRS,2450.0,PC (1 PC),Cafe,lundi,2024-06,A,17,4050.0
JEX CARRE,50.0,PC (1 PC),Hygiène,mardi,2024-06,A,17,180.0
JUS CITRONADE  CLASSIQUE 250 ml,1043.0,PC (1 PC),Jus Fruit Lait,lundi,2024-06,A,17,1403.0
JUS STILL 20 CL,460.0,PC (1 PC),Jus Fruit Lait,lundi,2024-06,A,17,552.0
KETCHUP BIDON 5L,10.0,PC (1 KG),Epicerie,jeudi,2024-06,B,17,35.0
KINDER T4,80.0,PC (1 PC),Epicerie,mardi,2024-06,B,17,180.0
KIWI,392.0,PC (1 PC),Fruits & Legumes Frais,lundi,2024-06,A,17,641.0
LAIT UHT DEMI ECREME,831.0,PQT (1 L),Jus Fruit Lait,lundi,2024-06,A,17,1322.0
LAVETTE COTON,96.0,PC (1 PC),Hygiène,lundi,2024-06,A,17,149.0
LEVURE BOULANGERE NORMALE,9.0,PC,Boulangerie_R,mardi,2024-06,B,17,34.0
LOT CAFE GRAIN ESPRESSO ELITE 3,39.0,PC (1 KG),Cafe,lundi,2024-06,A,17,128.0
LOT CAFE GRAINS  PUR EXPRESS,34.0,KG,Cafe,mardi,2024-06,A,17,73.0
MAIS EN BOITE,10.0,BTE (340 GR),Epicerie,mercredi,2024-06,A,17,92.0
MARINADE POULET GRILLE 2KG PB,18.0,PC (1 KG),Volaille Surgelée,mardi,2024-06,A,17,36.0
MAY 0.5L,6490.0,PC,Eaux et Sodas,lundi,2024-06,A,17,22614.0
MAYO 5L DEJ,100.0,KG (5000 GR),Beurre Oeuf Fromage,mardi,2024-06,A,17,170.0
MIRA 1L,1051.0,PC (1 PC),Eaux et Sodas,lundi,2024-06,A,17,1848.0
MIX A CREPE FRANCAISE,80.0,SAC (1 SAC),Pâtisseries,lundi,2024-06,B,17,150.0
MOUTARDE DIJON 840 GR,6.0,BTE (840 GR),Epicerie,mardi,2024-06,B,17,25.0
MUFFINS VANILLE,24.0,PC (1 PC),Viennoiserie,mardi,2024-06,B,17,96.0
Muffin daily'n,16.0,PC (1 PC),Pâtisseries,mardi,2024-06,A,17,1109.0
NOIX DE CAJOU GRILLES SALEES 65GR,36.0,PC (1 PC),Fruits Secs,mardi,2024-06,B,17,96.0
NUGGETS PANE PB,100.0,PC (1 PC),Volaille Surgelée,mardi,2024-06,A,17,275.0
OEUFS,46.0,PC (30 PC),Beurre Oeuf Fromage,lundi,2024-06,A,17,83.0
OIGNONS BLANC,83.85,KG (1 KG),Legumes Frais,lundi,2024-06,A,17,127.3
OIGNONS ROUGE,51.95,KG (1 KG),Legumes Frais,lundi,2024-06,A,17,119.4
OLIVE DENOYETE,7.0,KG (1 KG),Legumes Frais,mercredi,2024-06,B,17,35.0
ORANGE A JUS,1043.35,KG (1 KG),Jus Fruit Lait,lundi,2024-06,A,17,2117.05
PACK FOOD BOWL + COUVERCLE 1.2 L,100.0,PC (1 PC),Consommable,mardi,2024-06,B,17,175.0
PAIN AU CHOCOLAT PUR BERRE GF SURG.,1050.0,PC (1 PC),Viennoiserie,vendredi,2024-06,B,17,4400.0
PAIN CHAWARMA *10,53.0,PQT (10 PC),Boulangerie_R,lundi,2024-06,A,17,115.0
PAIN CIABATTA NATURE,2100.0,PC (1 PC),Boulangerie_R,vendredi,2024-06,A,17,6590.0
