Site,Item Id,Name,Physical Storage Quantity,Storage Unit,Family,GroupName,From,To,Delivery date,Date_week,Month,Week_iso,Demanded,Delivered,Cycle,DispatchFlag,flow,Stock_Class_x,Stock_Class_y,Stock_Class,satisfaction_rate (%),days_since_start,Inventory_Cycle,Max_Stock,Weekend
Economat,12553,BOITE A CREPE,700.0,PC (1 PC),CONSO/HYG,Consommable,Economat AC,DB1,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB1,B,B,B,85.5072463768116,0,1,1500.0,0
Economat,13068,POIVRE NOIR MOULU,1.0,PC (1 KG),SOLIDES,Epicerie,Economat AC,PLAN B,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → PLAN B,B,B,B,60.86956521739131,0,1,1.0,0
Economat,13092,SERVIETTE EN PAPIER 30*30,24.0,PC (1 PC),CONSO/HYG,Consommable,Economat AC,PLAN B,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → PLAN B,A,A,A,77.73212818405916,0,1,72.0,0
Economat,16250,MAYO 5L DEJ,10.0,KG (5000 GR),SOLIDES,Epicerie,Economat AC,PLAN B,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → PLAN B,A,A,A,81.50537634408602,0,1,25.0,0
Economat,12673,HUILE VEGETALE 5L,6.0,L (5 PC),SOLIDES,Epicerie,Economat AC,PLAN B,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → PLAN B,A,A,A,57.24137931034483,0,1,30.0,0
Economat,12727,ORANGE A JUS,20.0,KG (1 KG),LIQUIDES,Jus Fruit Lait,Economat AC,DB1,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB1,A,A,A,79.17023096663816,0,1,121.0,0
Economat,14691,KETCHUP,1.0,PC (5000 PC),SOLIDES,Epicerie,Economat AC,DB1,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB1,C,C,C,83.09859154929578,0,1,10.0,0
Economat,13097,SNICKERS,40.0,PC (1 PC),SOLIDES,Epicerie,Economat AC,DB1,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB1,C,C,C,30.76923076923077,0,1,48.0,0
Economat,12993,KINDER T4,20.0,PC (1 PC),SOLIDES,Epicerie,Economat AC,DB1,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB1,B,B,B,67.33333333333333,0,1,60.0,0
Economat,12879,AMANDES GRILEES SALEES 70GR,12.0,PC (1 PC),SOLIDES,Fruits Secs,Economat AC,DB1,2024-01-01,lundi,2024-01,1,1,1,1,1,Economat AC → DB1,B,B,B,72.5925925925926,0,1,48.0,0
